id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14897271,Stylish&lovely Apartment @Kreuzkölln/Maybachufer,93500732,Michele,Neukölln,Reuterstraße,52.49247,13.42885,Entire home/apt,,92,29,2021-09-15,0.27,1,0,0,
14906316,2 Zimmer-Apartment - nähe Ku'Damm,8912086,MAVO Hospitality,Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.48566,13.32617,Entire home/apt,159,60,1,2018-12-22,0.01,50,168,0,
14908272,Appartement at Treptower Park + publ. transport,34257704,Sascha,Treptow - Köpenick,Alt  Treptow,52.48929,13.45374,Entire home/apt,,92,7,2019-10-01,0.07,1,0,0,
14914583,Liebevolle Wohnung zum wohlfühlen,6598506,Dila,Mitte,Wedding Zentrum,52.55595,13.37343,Private room,38,92,12,2019-10-09,0.15,1,173,0,
14927090,Top floor city pad - APT 12,73706066,Marls,Mitte,Moabit West,52.53307,13.34114,Entire home/apt,63,93,162,2023-09-26,1.52,5,365,0,
14930230,Blacksmith Harley Apartment,93113247,Stephan,Mitte,Moabit Ost,52.53273,13.35231,Entire home/apt,193,2,252,2025-06-18,2.39,7,235,71,
14937304,Lovely large flat in Friedrichshain,6843878,Alina,Lichtenberg,Fennpfuhl,52.5262,13.47297,Entire home/apt,,1,22,2023-11-19,0.21,2,0,0,
14938479,Tolles Studio Apartment für 2 Personen,8912086,MAVO Hospitality,Tempelhof - Schöneberg,Tempelhof,52.45678,13.37775,Entire home/apt,125,29,7,2025-04-16,0.07,50,48,3,
14941701,2 Room Apartment in the Heart of Friedrichshain,93999642,Alexander,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50817,13.46614,Private room,,70,5,2022-09-30,0.05,1,0,0,02/Z/AZ/011461-19
14942829,Privat room only 15 min. away from Alexanderplatz,94012971,Luisa,Pankow,Weißensee,52.54674,13.45307,Private room,54,1,93,2025-05-16,0.87,1,42,14,03/Z/AZ/006639-21
14956202,Old Forge Loft Apartment,93113247,Stephan,Mitte,Moabit Ost,52.53473,13.35206,Entire home/apt,293,2,256,2025-06-18,2.46,7,296,56,
14960438,*** Cozy apartment with nice garden,94186853,Holger,Lichtenberg,Rummelsburger Bucht,52.49648,13.48211,Entire home/apt,72,5,111,2025-05-31,1.15,1,9,15,11/Z/AT/000067-14
14972487,Gartenhaus mit Katzenversorgung in Wilhelmsruhe,65741956,Stefanie,Pankow,Schönholz/Wilhelmsruh/Rosenthal,52.58787,13.36841,Entire home/apt,,92,0,,,1,0,0,
14974548,"Sonniges Dachgeschoss, zwei Etagen, Dachterrasse",6649313,Matthias,Mitte,Brunnenstr. Süd,52.52857,13.38587,Entire home/apt,250,6,41,2024-12-26,0.39,1,122,2,01/Z/NA/004171-15
14997220,"Well-equipped, central, clean apartment Neukölln",14784492,Claudi,Neukölln,Neuköllner Mitte/Zentrum,52.46365,13.43582,Entire home/apt,,92,10,2017-08-05,0.09,1,0,0,
14999599,Sun yard,88135942,Nadja,Mitte,Moabit West,52.52882,13.33305,Entire home/apt,58,183,59,2023-05-22,0.58,3,363,0,
15003633,*** Exklusives Design-Loft im Zentrum Berlins ***,5472105,Marcel,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51787,13.45892,Entire home/apt,98,92,13,2023-09-08,0.12,13,172,0,
15019290,Altbau FeWo mit Berliner Charme,94794742,Frank,Charlottenburg-Wilm.,Mierendorffplatz,52.53039,13.29887,Entire home/apt,89,3,371,2025-06-01,3.59,1,180,52,04/Z/ZA/005340-17
15031234,Spacious Room in Great Location,86857088,Dan,Neukölln,Reuterstraße,52.49329,13.42779,Private room,,92,21,2020-09-04,0.20,1,0,0,
15034680,nice Room in Friedrichshain,94953953,Andreas,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50365,13.42215,Private room,,92,6,2019-04-20,0.06,1,0,0,
15036642,"Berlin-Mitte,groß,hell,ruhig,zentral,für Familien",94972702,Astrid,Mitte,Brunnenstr. Süd,52.53454,13.40712,Entire home/apt,,2,10,2023-08-25,0.09,1,0,0,01/Z/RA/015521-23
15039213,"Lightful, flat in Neukölln 75 qm with balcony",94917773,Antonia,Neukölln,Neuköllner Mitte/Zentrum,52.47156,13.42941,Entire home/apt,,92,3,2017-11-19,0.03,1,0,0,
15047551,"Big, sunny and beautiful private room",95091425,Camila,Tempelhof - Schöneberg,Schöneberg-Nord,52.4959,13.35056,Private room,,92,46,2018-10-28,0.43,2,0,0,
15065917,Quiet old building apartment with balcony in FHain,15194176,Hieronymus,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50806939668494,13.458063563119739,Entire home/apt,,8,17,2023-08-16,0.16,1,0,0,02/Z/AZ/017636-23
15069720,Small top-floor apartment,89102163,Ingo,Lichtenberg,Neu Lichtenberg,52.50478,13.49778,Entire home/apt,,6,117,2024-01-04,1.10,1,0,0,11/Z/AZ/002295-22
15107151,"Zimmer mit Klimaanlage, Dachterrasse und Privatbad",34596621,Michael,Pankow,Blankenfelde/Niederschönhausen,52.58392,13.39985,Private room,70,3,113,2025-06-01,1.06,1,255,11,03/Z/AZ/003664-18
15111759,"Bright cosy space, very close to station",95195054,Yolanda,Charlottenburg-Wilm.,Mierendorffplatz,52.52928,13.30226,Private room,,7,3,2024-06-26,0.04,1,0,1,04/Z/AZ/012534-22
15120448,"4-Bedroom mixed, Ensuite ,  No. 10",8250486,Singer Hostel Berlin,Mitte,Alexanderplatz,52.51787,13.42442,Private room,119,1,137,2025-05-18,1.30,40,104,5,
15135449,"6-Bed mixed dorm ,Shared Bathroom 10",8250486,Singer Hostel Berlin,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.51618,13.42614,Private room,209,1,142,2025-06-09,1.34,40,35,23,
15135834,"6-Bed mixed dorm ,Shared Bathroom 11",8250486,Singer Hostel Berlin,Mitte,Alexanderplatz,52.51571,13.42512,Private room,171,1,512,2025-05-25,4.83,40,152,81,
15153401,"6-Bedroom mixed, Ensuite , TV No. 10",8250486,Singer Hostel Berlin,Mitte,Alexanderplatz,52.51748,13.42419,Private room,159,1,82,2025-03-05,0.78,40,103,1,
15171415,Dream Flat with Amazing View,93520150,Walter,Pankow,Prenzlauer Berg Ost,52.52793,13.44776,Entire home/apt,,92,0,,,1,0,0,
15187287,Spacy and Luxurious Apartment near Kurfürstendamm,95441674,Uwe,Charlottenburg-Wilm.,Düsseldorfer Straße,52.49739,13.30736,Entire home/apt,122,182,1,2017-12-15,0.01,1,364,0,
15197627,A room to love in Kreuzberg,9922858,Paz,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49994,13.43832,Private room,,92,9,2018-06-24,0.08,1,0,0,
15215356,Wie Zuhause - für eine gemütliche Zeit in Berlin,6606624,Yury,Steglitz - Zehlendorf,Schloßstr.,52.4606547,13.3198331,Entire home/apt,85,2,40,2025-04-27,1.22,1,22,15,06/Z/RA/004246-22
15215429,Unique house in Berlin - Mitte,59922375,Alexander,Mitte,Brunnenstr. Süd,52.5342041,13.3954672,Entire home/apt,,30,8,2024-09-01,0.08,2,172,1,
15224790,Little doll's house apartment,71998042,Anne,Mitte,Wedding Zentrum,52.54157,13.35597,Private room,,92,1,2016-10-11,0.01,1,0,0,
15226698,Sun yard 3,88135942,Nadja,Mitte,Moabit Ost,52.52793,13.35066,Entire home/apt,62,92,39,2023-06-01,0.40,3,324,0,
15227435,Atelier Apartment,5891250,Thomas,Mitte,Brunnenstr. Süd,52.53315,13.40085,Entire home/apt,86,30,16,2025-05-28,0.15,5,196,9,
15229038,Sun yard 2,88135942,Nadja,Mitte,Moabit West,52.52698,13.3363,Entire home/apt,88,183,68,2023-02-06,0.72,3,166,0,
15235950,Cosy and central Apartment,68554371,Jens,Mitte,Tiergarten Süd,52.50011,13.3656,Entire home/apt,119,3,72,2025-05-31,0.69,1,232,6,
15245252,Cosy and bright room for 3 People,30928939,Paul,Lichtenberg,Fennpfuhl,52.52439,13.47959,Private room,,92,1,2017-05-02,0.01,1,0,0,
15245580,calm and airy spot in kreuzberg (family friendly),96942508,Sophie,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49684,13.38109,Entire home/apt,35,92,6,2019-06-30,0.06,1,30,0,
15251878,Living near FU - park view,19145993,Fritjof,Steglitz - Zehlendorf,Zehlendorf  Nord,52.45941,13.28455,Private room,61,2,111,2025-06-12,1.05,2,318,19,06/Z/AZ/002690-18
15266797,nice room in multiculti flat share,27902038,Brigitta,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49652,13.44033,Private room,,92,32,2017-07-11,0.30,1,0,0,
15277811,Berlin Style Design Vintage Apt 4,73706066,Marls,Mitte,Moabit West,52.53166,13.34128,Entire home/apt,,93,294,2023-08-19,2.77,5,109,0,
15293787,"Modern,cozy place in Friedrichshain",36808312,Patrick,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50762,13.45248,Entire home/apt,79,92,12,2020-03-07,0.12,1,363,0,
15307995,pavilion for two+,28114748,Martin,Lichtenberg,Rummelsburger Bucht,52.49665,13.4862,Entire home/apt,73,2,111,2025-02-01,1.05,2,178,7,11/Z/AZ/003027-24
15332347,kleines Schlafzimmer in großer Altbauwohnung,97721701,Wiebke,Pankow,Pankow Zentrum,52.56955,13.40247,Private room,,92,4,2019-09-07,0.04,1,0,0,
15357789,Tolle Wohnung in Pankow mit Kater,28012614,Nicole,Pankow,Pankow Zentrum,52.57045,13.40176,Private room,,92,4,2018-07-21,0.04,1,0,0,
15363472,Single Room Ensuite / TV,8250486,Singer Hostel Berlin,Mitte,Alexanderplatz,52.51764,13.42457,Private room,154,1,71,2025-04-18,0.69,40,63,12,
15365339,Langenscheidt,1310866,Ashraf,Tempelhof - Schöneberg,Schöneberg-Nord,52.48937,13.36251,Entire home/apt,81,3,141,2025-06-19,1.39,2,23,33,07/Z/ZA/001799-16
15376599,Berliner Altbau Prenzlauer Berg cozy&relaxing 8-),45061069,Jan,Pankow,Prenzlauer Berg Nord,52.54349,13.43928,Private room,78,4,43,2025-06-10,0.43,1,9,7,12/Z/AZ/175716-19
15384347,Gemütliches Zimmer in Zweier-WG im Bergmannkiez,98354623,Hanna,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49113,13.39822,Private room,,92,6,2017-05-22,0.06,1,0,0,
15415032,Modern Design Apartment in Schillerkiez Neukölln,13271815,Paul,Neukölln,Schillerpromenade,52.47507,13.42371,Entire home/apt,,5,41,2025-05-26,0.40,1,4,10,08/z/ra/012300-22
15452539,Wohnen am Schloß Charlottenburg,145583,Christian,Charlottenburg-Wilm.,Schloß Charlottenburg,52.52068,13.29104,Entire home/apt,50,92,5,2024-02-29,0.05,3,173,0,
15472493,Appart calme et lumineux proche quartier branché,3775321,Gabrielle,Treptow - Köpenick,Alt  Treptow,52.49172,13.44887,Entire home/apt,70,6,6,2025-05-07,0.22,1,20,4,09/Z/RA/003958-23
15472852,Gekommen um zu bleiben!,10690131,Oliver,Mitte,Moabit Ost,52.5262,13.34928,Entire home/apt,168,3,152,2025-06-09,1.48,2,190,31,
15474739,A Room at Kreuzberg (Kotbusser Tor),25940498,Emre,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.49756,13.42065,Private room,,2,1,2025-01-02,0.18,1,0,1,02/Z/AZ/019792-24
15477104,8-Romantik mit Parkblick am Rüdesheimer Platz,26670019,Dagmar,Charlottenburg-Wilm.,Wiesbadener Straße,52.47449,13.31564,Private room,79,2,23,2024-07-14,0.23,9,292,2,
15481307,"Stylish&cosy apartment in Altbau,Berlin-Mitte",518154,Simona,Mitte,Brunnenstr. Süd,52.53069,13.38571,Entire home/apt,48,190,23,2025-04-03,0.22,1,205,2,
15491436,"Apartment in Villa, 75 m2",77214209,Ali,Steglitz - Zehlendorf,Albrechtstr.,52.45411,13.35426,Entire home/apt,90,5,40,2025-04-13,0.38,1,216,6,
15494108,Cozy nest in Rosenthalerplatz,15997566,Nicola,Mitte,Brunnenstr. Süd,52.531,13.4001,Entire home/apt,45,180,0,,,2,171,0,
15514414,"Beautifull, cosy, central!",99514456,Tatjana,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50444,13.3918,Entire home/apt,,92,11,2018-01-07,0.11,1,0,0,
15529822,"Bright, cosy room in Friedrichshain",15850420,David,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.51074,13.43883,Private room,,92,2,2016-12-26,0.02,2,0,0,
15531727,Bright cosy room in Friedrichshain,15850420,David,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.51134,13.43764,Private room,,92,0,,,2,0,0,
15541532,Big  peaceful  room 30mr in central Kreuzberg,99993828,Liat,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48953,13.41436,Private room,,92,0,,,1,0,0,
15559532,Florakiez: Ankommen und Dich wohlfühlen !,100152836,Christel,Pankow,Pankow Zentrum,52.56316,13.40262,Entire home/apt,50,93,0,,,1,111,0,
15600124,"Cosy Flat with fireplace, balcony & open kitchen",990154,Farsan,Reinickendorf,MV 1,52.59276,13.34356,Entire home/apt,113,7,7,2025-06-08,0.07,1,313,2,12/Z/RA/004923-23
15611440,Luxury apartment in the historic center of Berlin,64166708,María Del Mar,Mitte,Regierungsviertel,52.50985,13.39017,Entire home/apt,67,92,10,2024-05-31,0.10,9,258,0,
15614917,Cozy single-room Apartment in Prenzlauer Berg,100670500,Lena,Pankow,Prenzlauer Berg Ost,52.52922,13.44718,Entire home/apt,,92,13,2017-08-30,0.12,1,0,0,
15616319,"Topcentral w. garden 110m², 3 rooms up to 6 guests",2264025,Wibke,Mitte,Brunnenstr. Süd,52.53161,13.40552,Entire home/apt,165,4,31,2025-04-22,0.34,2,169,15,01/Z/RA/008537-18
15629845,Helles Zimmer mit Balkon Nähe Kudamm,44373619,Emanuel,Charlottenburg-Wilm.,Düsseldorfer Straße,52.49644,13.32288,Private room,,92,18,2018-03-06,0.17,1,0,0,
15644542,Studio with Balcony & I-Mac - Center of Neukölln,44504297,Mark,Neukölln,Neuköllner Mitte/Zentrum,52.48034,13.42877,Entire home/apt,54,92,1,2020-11-19,0.02,2,341,0,
15645656,"Quiet Studio 
Apartment close to Mauerpark",9835745,Atto,Pankow,Prenzlauer Berg Südwest,52.54048,13.40667,Entire home/apt,97,2,232,2025-06-19,5.55,1,185,70,03/Z/AZ/003877-18
15652886,Cozy and quiet room in old building in Berlin,101017638,Hardi,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51938,13.31999,Private room,54,2,502,2025-06-19,4.78,1,209,42,04/Z/AZ/011007-21
15653871,Nice Room In Friedrichshain,87246578,Alex,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.52092,13.45683,Private room,87,3,183,2025-06-20,1.80,1,124,28,02/Z/AZ/014489-21
15660868,woanders - stilvoll & gemütliches Stadt-Apartment,101104755,Tanja,Tempelhof - Schöneberg,Schöneberg-Süd,52.48825,13.3529,Entire home/apt,119,3,182,2025-06-18,1.78,1,110,39,
15694049,"Sonniges Studio in Kudammnähe, with charm&light",1574908,Jürgen,Charlottenburg-Wilm.,Halensee,52.49873,13.29119,Entire home/apt,37,92,5,2024-05-11,0.06,5,219,0,
15697935,Secured Cosy flat near by Park in the Tower,98794666,Hank,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.52413,13.42893,Entire home/apt,,92,0,,,1,0,0,
15709384,lovely room -top floor flat with terrace -Neukolln,3887575,Camille,Neukölln,Neuköllner Mitte/Zentrum,52.46923,13.43188,Private room,,5,16,2025-03-31,0.16,1,2,4,
15711132,"Sehr zentral in Charlottenburg, 5 min. zur U-Bahn",6350335,Gabriele,Charlottenburg-Wilm.,Schloß Charlottenburg,52.51302,13.2981,Private room,,92,2,2020-07-10,0.03,1,0,0,
15728111,Beautiful Apartment in Friedrichshain,26582259,Maru,Pankow,Prenzlauer Berg Ost,52.52096,13.45753,Entire home/apt,,92,18,2017-07-31,0.17,1,0,0,
15754825,DG-Loft City West unweit vom KaDeWe,101843990,Eiko,Charlottenburg-Wilm.,Düsseldorfer Straße,52.49989,13.33362,Entire home/apt,55,365,0,,,1,357,0,
15757575,beautiful berliner room,101867277,Sofia,Mitte,Moabit Ost,52.53662,13.35867,Private room,,92,90,2022-09-24,0.86,2,0,0,
15763658,Cozy Jungle room 🌴close to main train station❤️,45954186,Karl,Mitte,Moabit Ost,52.53385,13.35746,Private room,,92,1,2019-11-28,0.01,1,0,0,
15763674,"""Haus am See"" in Weißensee",10561338,Matthias,Pankow,Weißensee,52.55585,13.46486,Entire home/apt,,92,2,2019-10-21,0.02,1,0,0,
15767215,60 m² in the middle of the heart of Berlin,39537907,Andre,Pankow,Blankenfelde/Niederschönhausen,52.58702,13.4015,Entire home/apt,93,3,87,2025-06-03,0.84,2,255,22,
15768501,spacious room in Neukölln,60892502,Clara,Neukölln,Rixdorf,52.48667,13.44862,Private room,,92,2,2017-01-29,0.02,1,0,0,
15772526,Großes und schönes Altbauzimmer in WG!,101999807,Jonas,Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.48711,13.32706,Private room,,92,2,2016-12-01,0.02,1,0,0,
15778858,Lovely apartment facing the Mauerpark,45387947,Akribis,Pankow,Prenzlauer Berg Nordwest,52.54038,13.40378,Entire home/apt,61,92,98,2023-11-10,1.08,1,47,0,
15810587,Great 2-room apartment in Kollwitzkiez,18865761,Andreas,Pankow,Prenzlauer Berg Südwest,52.53593,13.42249,Entire home/apt,98,7,15,2025-02-09,0.15,1,238,2,03/Z/RA/007756-21
15810911,Moderne 3 ZWG mit Fitnessraum und Sauna in Mitte,12360,Michael,Mitte,Alexanderplatz,52.53057,13.38188,Entire home/apt,104,92,6,2025-05-19,0.07,21,0,2,
15840118,"Cosy room in creative apartment, Weißensee",87638044,Alana,Pankow,Weißensee,52.55045,13.45636,Private room,,92,9,2017-10-09,0.09,1,0,0,
15850068,Beautiful  room in the center of the city.,59922375,Alexander,Mitte,Brunnenstr. Süd,52.5345,13.39583,Private room,59,1,149,2025-06-05,1.79,2,23,41,
15857016,Helle 1 Zimmer-Wohnung im Herzen von Kreuzberg,101994170,Philipp,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.4995,13.4286,Entire home/apt,,92,4,2019-12-15,0.04,1,0,0,
15857997,"Beautiful room, huge flat, top location (P-Berg).",23786017,Dimitrij,Pankow,Prenzlauer Berg Südwest,52.53986740112305,13.410859107971191,Private room,,6,32,2023-04-05,0.31,3,0,0,
15863074,"63m2 luminous flat in ""Stalinallee""",101500282,Frederic,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.51686,13.44173,Entire home/apt,,92,23,2021-08-22,0.22,1,0,0,
15868988,"Riverfront marvel, amazing location, Wifi",2599754,Sedat,Mitte,Moabit Ost,52.52139,13.34492,Entire home/apt,111,3,293,2025-06-01,2.83,1,248,44,01/Z/ZA/007241-17
15884562,sonnige city wohnung am park,63838688,Joachim,Charlottenburg-Wilm.,Barstraße,52.48872,13.31623,Entire home/apt,40,93,2,2017-11-27,0.02,9,273,0,
15895668,"Modernes 1,5 Zimmer Apartment",8912086,MAVO Hospitality,Tempelhof - Schöneberg,Tempelhof,52.45812,13.37933,Entire home/apt,125,29,14,2025-05-19,0.14,50,153,5,
15920000,Remise/Loft in East Berlin,11960136,Claudia,Pankow,Weißensee,52.54587,13.45665,Entire home/apt,,92,0,,,1,0,0,
15935417,"Central & calm apartment, Schönhauser Allee",27992532,Stefan,Pankow,Prenzlauer Berg Nord,52.55008,13.41415,Entire home/apt,46,92,14,2020-04-30,0.14,2,323,0,
15939680,Nice and cosy in  central Berlin,7113017,Rom,Mitte,Alexanderplatz,52.53254,13.37826,Entire home/apt,,92,10,2020-09-30,0.10,4,0,0,
15940518,Modern bright cosy room in Kreuzberg!,103464670,Alex,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49245,13.42125,Private room,,92,43,2017-10-18,0.41,1,0,0,
15941034,Apartment im Prenzlauer Berg II,103469630,Frank,Pankow,Helmholtzplatz,52.54859,13.41513,Entire home/apt,100,9,335,2025-06-10,3.23,3,290,32,
15954285,Charming personal Haven in the Heart of Neukölln,7134487,Felicia,Neukölln,Neuköllner Mitte/Zentrum,52.46816,13.43146,Private room,,92,5,2018-04-16,0.05,1,0,0,
15963527,Family Apartment on Kudamm,36184032,Ruslan,Charlottenburg-Wilm.,Halensee,52.50026,13.29983,Entire home/apt,,92,0,,,1,0,0,
15969179,"Modern Townhouse, 500 m from central train station",52238768,Claudia,Mitte,Moabit Ost,52.52873,13.36365,Entire home/apt,,4,55,2025-05-04,0.55,1,0,12,01/Z/RA/014857-22
15980239,Huge private room (36m²) in studio space,35400575,Venus,Mitte,Regierungsviertel,52.51055,13.39536,Private room,,92,5,2017-03-26,0.05,2,0,0,
15983550,Room next to Berghain with mirror installation!,101467288,Ben,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.51183,13.43984,Private room,,92,1,2016-12-12,0.01,1,0,0,
15985692,Neukölln...very special!Apt. No.3,26836482,BerlinSurfHostel,Neukölln,Neuköllner Mitte/Zentrum,52.46682,13.44004,Entire home/apt,66,2,371,2025-06-09,3.58,11,267,55,
15986157,Sunny flat in Weserkiez Neukölln,3538928,Marcel,Neukölln,Reuterstraße,52.48304642888824,13.441389122545363,Entire home/apt,,3,15,2024-09-12,0.79,1,0,3,08/Z/RA/011677-22
15993543,Charming apartment in the centre of Berlin,67792255,Helmut,Mitte,Moabit West,52.53379,13.33611,Entire home/apt,240,4,57,2024-09-25,0.57,1,309,6,01/Z/RA/012055-20
15995604,Super spacious 1-BR (90m2) in vibrant Kreuzberg,1171840,Sandra,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49184,13.3949,Entire home/apt,115,7,12,2025-05-30,0.12,1,86,1,02/Z/RA/020201-24
15998589,Apartment 1 - Business-Studio - downtown - 35 sqm,6099328,Klaus,Mitte,Brunnenstr. Süd,52.53175,13.39496,Entire home/apt,161,3,252,2025-05-21,2.48,7,123,35,
16007104,sunny-  bright and big room !,2374591,Bella,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.501148,13.3918,Private room,,3,208,2025-05-10,1.99,1,4,36,02/Z/AZ/016929-23
16025032,Minimalism,6546445,Lukas,Mitte,Alexanderplatz,52.5276,13.40986,Entire home/apt,,92,8,2017-09-30,0.08,1,0,0,
16026081,Private room in the heart of Berlin,41572417,Martin,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.52394,13.43681,Private room,,92,5,2018-07-18,0.05,1,0,0,
16026861,3-bedroom apartment near Potsdamerplatz,10817284,Евгения,Mitte,Tiergarten Süd,52.50119,13.36315,Entire home/apt,168,2,119,2025-06-02,1.22,5,11,25,
16028905,Central apartment with amazing view over Berlin,62297614,Brad,Mitte,Brunnenstr. Nord,52.54565,13.37449,Entire home/apt,90,5,53,2025-05-11,0.51,1,63,4,01/Z/AZ/008890-18
16041518,Berlin Lounge am Brandenburger Tor/Potsdamer Platz,1199044,Ina,Mitte,Regierungsviertel,52.51059,13.3856,Entire home/apt,,180,0,,,6,81,0,
16050152,apartment 7_brewer's retreat-downtown -35 sqm,6099328,Klaus,Mitte,Brunnenstr. Süd,52.53144,13.39471,Entire home/apt,161,3,171,2025-05-28,1.66,7,128,19,
16050858,Cozy apartment in old Berlin factory,1153297,Gal,Neukölln,Reuterstraße,52.48678,13.43863,Entire home/apt,109,4,336,2025-06-02,3.48,3,159,36,08/Z/AZ/006055-18
16053459,Apartment in center with garden,21049606,Mascha,Pankow,Prenzlauer Berg Süd,52.53253,13.42389,Entire home/apt,168,1,33,2024-01-04,0.32,1,0,0,03/Z/RA/005352-20
16053818,Idyll mit separatem Schlafzimmer & grüner Terasse,1199044,Ina,Mitte,Brunnenstr. Süd,52.53962,13.40483,Entire home/apt,98,92,28,2023-02-28,0.27,6,199,0,
16067603,"Möbliertes Zimmer, zentral - nur Frauen/women only",20978339,Christina,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.5248,13.45198,Private room,28,92,5,2023-01-29,0.12,1,182,0,
16071055,Schöne Altbauwohnung im Prenzlauer Berg,104553677,Michael,Pankow,Prenzlauer Berg Nord,52.54715,13.42758,Entire home/apt,,92,1,2018-01-20,0.01,1,0,0,
16091735,"Airbnb Superb 2 bed 2bath + Carpark,  city centre!",161221,Marcus,Mitte,Alexanderplatz,52.51197,13.41226,Entire home/apt,393,4,137,2025-06-02,1.33,6,297,11,01/Z/RA/017514-24
16096011,Pure relaxation: temporary living,62802477,Christo,Treptow - Köpenick,Bohnsdorf,52.3949,13.57624,Private room,30,31,3,2017-04-25,0.03,5,266,0,01/Z/AZ/016711-24
16106554,Gemütliche kleine Neubauwohnung,104900952,Doris,Pankow,Pankow Zentrum,52.56583,13.39931,Private room,37,2,44,2025-03-14,0.43,1,20,5,03/Z/AZ/004080-18
16106983,Urban Creative Hub. connect. be inspired. be you.,5097927,Ireneusz,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50932,13.45385,Entire home/apt,92,1,79,2025-06-02,0.81,1,343,3,"First name and Last name: Ireneusz Szumlanski <br/> Contact address: Kinzigstr. 11, 10247, Berlin, Deutschland <br/>Listing address: Kopernikusstr. 23 , dritter Hinterhof, GEWERBEHOF, 10245, Berlin, Deutschland"
16119275,"Hotel-Standard, sep. Eingang, eig. Bad, Boxspring!",8651009,Birte,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49041,13.37889,Private room,69,3,424,2025-06-13,4.08,1,100,27,02/Z/AZ/019420-24
16138501,"Spacious old-style, charming 110 m2 lux. Apartment",43771825,Franziska,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51631,13.30356,Entire home/apt,269,4,68,2025-06-10,0.69,1,45,1,04/Z/ZA/007368-18
16141397,Ein Raum Wohnung in Schöneberg,105320391,Olena,Tempelhof - Schöneberg,Schöneberg-Süd,52.48243,13.34816,Entire home/apt,,92,0,,,1,0,0,
16143085,Sunny Parkapartment 1 next to Zoo/Kadewe,73342683,Dario,Mitte,Tiergarten Süd,52.50686,13.34816,Entire home/apt,57,3,25,2020-10-04,0.25,1,171,0,01/Z/ZA/005214-16
16144309,Room in Südstern,105202525,Victor,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49047,13.41041,Private room,,92,15,2017-11-19,0.15,1,0,0,
16145208,"Whole flat,beautiful,central, quiet.",104274619,Alice Sarit,Pankow,Prenzlauer Berg Nordwest,52.5549,13.41361,Entire home/apt,,3,31,2024-08-16,0.30,1,0,2,03/Z/RA/007162-22
16152597,4 Charming Apartment in Berlin Mitte,4108700,Kristian,Mitte,Alexanderplatz,52.52946,13.40562,Entire home/apt,177,5,126,2025-06-01,1.23,4,335,35,01/Z/NA/004006-15
16153411,Beautiful Appartement in Prenzlauer,2654327,Yael,Pankow,Prenzlauer Berg Süd,52.5314,13.43131,Entire home/apt,356,7,47,2023-02-20,0.47,1,316,0,03/Z/RA/003536-18
16155678,VERY Central Room in Berlin Mitte,341799352,Jo & Fran,Mitte,Brunnenstr. Süd,52.53014,13.39445,Private room,78,2,691,2025-06-06,6.64,1,68,72,01/Z/AZ/012592-21
16158888,Sunny Apt. with park view,82144943,Markus And Hugo,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49252,13.38249,Entire home/apt,,92,0,,,2,0,0,
16160121,Bright 3 room-flat in the middle of Kreuzberg,7013537,Elie,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50217,13.41753,Entire home/apt,,92,1,2018-05-21,0.01,1,0,0,
